GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GBIF DOI Service,org.gbif.doi.service.datacite,DataCiteValidator,37,122,1,1,12,36,2,8,1,8
GBIF DOI Service,org.gbif.doi.service.datacite,RestJsonApiDataCiteService,16,554,4,36,6,122,4,34,0,18
