GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GBIF DOI Service,org.gbif.doi.service.datacite,DataCiteValidator,25,120,1,3,8,36,1,10,0,9
GBIF DOI Service,org.gbif.doi.service.datacite,RestJsonApiDataCiteService,477,0,38,0,109,0,34,0,15,0
